Date,Sector,Price,Volume,%Change,Volatility
44040,Communication Services,188.15,39.075,-0.007752347,0.003251351
44039,Communication Services,189.9,47.007,0.00930109,0.0120586
44036,Communication Services,188.43,49.387,-0.007740916,0.012050518
44035,Communication Services,188.54,64.967,0.000583771,0.005886443
44034,Communication Services,192.28,41.682,0.019836639,0.013613834
44033,Communication Services,192.2,48.772,-0.00041606,0.014320821
44032,Communication Services,192.99,49.622,0.004110302,0.003200621
44029,Communication Services,190.61,59.346,-0.012332245,0.011626636
44028,Communication Services,191.43,51.336,0.004301978,0.011762172
44027,Communication Services,190.86,54.09,-0.00297759,0.005147432
44026,Communication Services,190.31,60.317,-0.002881693,0.0000678089
44025,Communication Services,188.61,61.885,-0.008932794,0.004278774
44022,Communication Services,192.39,53.255,0.020041355,0.020487817
44021,Communication Services,188.7,60.37,-0.019179791,0.027733538
44020,Communication Services,188.77,67.266,0.000370959,0.013824468
44019,Communication Services,187.03,55.584,-0.009217566,0.006780111
44018,Communication Services,187.73,59.36,0.003742715,0.009164303
44014,Communication Services,183.78,58.92,-0.021040857,0.017524632
44013,Communication Services,183.9,61.362,0.000652955,0.015339841
44012,Communication Services,179.88,78.397,-0.021859706,0.015918855
44011,Communication Services,177.53,64.916,-0.013064265,0.006219316
44008,Communication Services,173.97,153.561,-0.020052949,0.004941746
44007,Communication Services,182.14,82.887,0.04696212,0.04738681
44006,Communication Services,181.1,90.457,-0.005709893,0.037244738
44005,Communication Services,185.65,67.232,0.025124241,0.021803025
44004,Communication Services,184.51,60.23,-0.006140587,0.022107572
44001,Communication Services,183.56,187.281,-0.005148772,0.000701319
44000,Communication Services,184.15,53.096,0.003214208,0.00591352
43999,Communication Services,184.17,56.537,0.000108607,0.002195991
43998,Communication Services,184.03,65.406,-0.000760167,0.000614316
43997,Communication Services,181.82,65.967,-0.012008912,0.007954063
43994,Communication Services,180.02,64.423,-0.009899901,0.001491296
43993,Communication Services,178.44,80.045,-0.008776803,0.000794151
43992,Communication Services,187.13,58.282,0.048699843,0.040642126
43991,Communication Services,187.61,57.511,0.002565062,0.032622217
43990,Communication Services,187.28,63.005,-0.001758968,0.003057551
43987,Communication Services,185.2,67.621,-0.011106365,0.006609608
43986,Communication Services,182.14,55.309,-0.016522678,0.003829912
43985,Communication Services,183.62,53.43,0.008125618,0.017428977
43984,Communication Services,183.23,52.473,-0.002123952,0.00724754
43983,Communication Services,182.34,41.604,-0.004857283,0.001932757
43980,Communication Services,180.89,104.565,-0.007952177,0.002188421
43979,Communication Services,179.62,57.58,-0.007020841,0.000658554
43978,Communication Services,181.35,63.579,0.009631444,0.011774944
43977,Communication Services,180.36,64.664,-0.005459057,0.010670596
43973,Communication Services,179.85,41.866,-0.002827678,0.001860666
43972,Communication Services,179.04,62.174,-0.004503753,0.001185164
43971,Communication Services,179.85,65.29,0.004524129,0.006383676
43970,Communication Services,175.13,59.745,-0.026244092,0.021756418
43969,Communication Services,175.85,62.37,0.004111232,0.021464455
43966,Communication Services,172.15,74.106,-0.02104066,0.017785073
43965,Communication Services,170.01,59.75,-0.012431019,0.006087935
43964,Communication Services,168.32,67.93,-0.009940592,0.001760998
43963,Communication Services,171.09,49.505,0.016456749,0.018665739
43962,Communication Services,174.47,53.275,0.019755684,0.002332699
43959,Communication Services,174.23,50.911,-0.001375595,0.014942071
43958,Communication Services,171.53,60.679,-0.015496757,0.00998517
43957,Communication Services,168.89,65.048,-0.015390894,0.0000748568
43956,Communication Services,169.57,52.601,0.004026289,0.013730022
43955,Communication Services,168.53,53.653,-0.00613316,0.007183816
43952,Communication Services,167.99,57.299,-0.003204177,0.002071104
43951,Communication Services,170.66,88.554,0.015893803,0.013504312
43950,Communication Services,170.62,69.692,-0.000234384,0.011404351
43949,Communication Services,162.42,54.718,-0.048060016,0.033817829
43948,Communication Services,165.55,54.408,0.019271026,0.047610236
43945,Communication Services,164.63,58.358,-0.005557233,0.01755623
43944,Communication Services,162.91,59.347,-0.010447671,0.003458061
43943,Communication Services,161.76,68.124,-0.007059112,0.002396072
43942,Communication Services,157.99,68.801,-0.023306133,0.011488378
43941,Communication Services,163.18,53.713,0.03285018,0.03970851
43938,Communication Services,164.69,71.398,0.009253585,0.016685313
43937,Communication Services,162.39,64.509,-0.013965632,0.016418466
43936,Communication Services,161.7,54.33,-0.00424903,0.006870675
